Sample,Depth,Chl-a,DO,Turbity,pH,TDS,T,NH4-N,NO3-N,TN,TP,TOC,Ca,K,Mg,Na,F,CAC,CRC,16sCRA
1_1D,0.5,34.29,6.1,4.19,9.36,906.7,17.3,0.4,0.38,0.96,0.07,22.61,7.26,11,68.08,191.38,2.23,1690000,0.6444 ,0.361234777
1_1M,0.5,18.36,6.46,15.4,9.47,910.4,16.1,0.13,0.33,0.96,0.06,22.15,5.019,9.096,68.88,223.35,2.83,30000,0.0126 ,0.143713897
1_1S,0.5,31.69,6.9,3.25,9.51,866.8,24.2,0.15,0.38,1.1,0.04,21.54,5.59,12.81,79.5,214.14,1.56,1772500,0.7740 ,0.166268075
1_3D,15.5,21.79,5.99,5.55,9.46,905.8,17.4,0.35,0.47,0.75,0.07,23.97,6.54,11.26,69.18,195.08,2.22,3115000,0.7788 ,0.386106921
1_3M,15.5,44.2,6.02,15,9.48,910.4,15.4,0.14,0.32,0.95,0.07,20.71,4.953,8.715,67.86,220.17,2.34,40000,0.0110 ,0.128113617
1_3S,15.5,15.42,3.33,6.91,9.42,881,23.1,0.17,0.36,0.93,0.05,23.79,5.69,12.78,78.75,211.86,1.6,1520000,0.7170 ,0.098274403
10_1D,0.5,4.37,6.27,3.29,9.43,904.3,17.3,0.38,0.41,0.85,0.05,21.57,6.4,11.32,69.4,194.74,2.15,2240000,0.6767 ,0.273004893
10_1J,0.5,107.6,7.56,5.33,9.36,888.4,23.8,0.22,0.39,0.7,0.06,26.37,8.59,11.53,49.83,225.9034401,2.84,4693800,0.7867 ,0.097832886
10_1M,0.5,38.03,8.63,11.6,9.51,911,17.2,0.13,0.35,1.13,0.08,23.12,5.943,8.637,72.21,229.77,2.32,2650000,0.3797 ,0.324000147
10_1S,0.5,22.82,7.33,2.56,9.52,864.1,24.1,0.14,0.43,1.15,0.05,21.5,6.23,12.99,80.85,215.12,1.58,2045500,0.8003 ,0.213105707
10_3D,26.5,15.47,5.78,2.86,9.43,903.5,17.5,0.4,0.38,0.94,0.06,23.16,6.44,11.28,69.38,194.12,2.18,1780000,0.6967 ,0.134184481
10_3J,26.5,54.55,5.74,4.32,9.25,896.8,20.2,0.26,0.34,0.8,0.1,21.33,8.61,11.47,49.32,225.4202409,1.84,1887000,0.8227 ,0.09930461
10_3M,26.5,45.72,8.35,9.21,9.51,909.6,17.1,0.15,0.38,1.06,0.08,23.12,6.432,8.412,69.21,220.47,2.29,3990000,0.5363 ,0.236101402
10_3S,26.5,31.69,2.04,2.36,9.38,887.9,22.3,0.27,0.4,0.87,0.1,23.01,7.16,13.25,81.66,220.01,1.54,320500,0.6848 ,0.055410427
11_1D,0.5,8.87,6.19,3.45,9.44,899,17.7,0.41,0.38,1,0.05,23.95,6.42,11.34,69.62,194.3,2.18,2735000,0.6741 ,0.366569778
11_1J,0.5,50.59,7.05,3.39,9.28,916.2,23.2,0.62,0.4,0.8,0.1,25.1,10.94,11.13,48.05,218.0955024,2.76,4782500,0.8329 ,0.179955112
11_1M,0.5,52.1,8.44,9.29,9.52,917,17.2,0.16,0.33,1.06,0.08,24.08,4.731,8.34,70.23,222.36,2.52,2470000,0.7243 ,0.252805475
11_1S,0.5,26.52,6.41,2.67,9.51,866.9,24.2,0.16,0.42,0.77,0.07,23.76,5.58,13.06,79.62,214.26,1.6,1688000,0.7089 ,0.114978476
11_3D,26.5,23.47,5.68,2.93,9.44,902.5,17.3,0.41,0.4,0.84,0.04,23.63,6.46,11.3,69.92,195.42,2.17,3085000,0.6488 ,0.245483645
11_3J,26.5,63.16,6.24,5.27,9.29,893.8,22,0.29,0.34,0.6,0.09,22.37,8.6,11.49,49.58,225.8226362,2.92,2917500,0.8069 ,0.178409802
11_3M,26.5,45.71,7.54,9.69,9.53,912.9,15.9,0.14,0.34,1.15,0.07,23.12,5.511,8.25,69.54,220.05,2.27,2520000,0.7139 ,0.201405497
11_3S,26.5,21.34,3.81,2.37,9.41,880,22.4,0.43,0.4,0.85,0.1,23.46,7.28,13.13,81.95,218.6,1.54,1645500,0.8203 ,0.100555576
12_1D,0.5,12.66,5.88,3.35,9.45,902.7,17.4,0.43,0.39,0.94,0.08,23.66,6.38,11.34,69.76,197.1,2.15,3635000,0.6839 ,0.387321093
12_1J,0.5,145.4,7.31,5.55,9.34,890.8,23.7,0.27,0.41,0.9,0.13,32.16,8.43,11.42,49.53,224.73169,3.1,1416000,0.3630 ,0.177637146
12_1M,0.5,44.92,8.17,10.2,9.51,914.8,16.3,0.14,0.36,0.89,0.09,26.97,5.34,8.112,69.03,220.44,2.26,400000,0.1980 ,0.219470915
12_1S,0.5,22.32,6.97,2.9,9.52,868,24.2,0.15,0.44,0.76,0.07,23.87,5.81,12.84,80.4,214.74,1.54,2083000,0.7301 ,0.171492697
12_3D,21.5,19.54,5.66,2.67,9.44,900.8,17.5,0.42,0.37,0.84,0.08,24.87,6.52,11.34,69.74,194.84,2.29,3930000,0.7030 ,0.451304316
12_3M,21.5,55.12,7.94,13.4,9.5,912.3,16.4,0.15,0.33,0.86,0.1,24.56,6.501,8.238,68.7,220.02,2.22,730000,0.2786 ,0.205268774
12_3S,21.5,36.13,5.38,2.67,9.48,872.8,23.7,0.15,0.44,1.05,0.08,23.87,5.47,12.77,80.36,214.37,1.52,2275500,0.8543 ,0.088928953
13_1D,0.5,4.23,6.45,2.73,9.44,903.3,17.4,0.4,0.41,0.85,0.08,22.18,6.4,11.44,70.88,197.02,2.28,1377500,0.5088 ,0.382133265
13_1J,0.5,129.4,7.61,4.97,9.36,889.8,23.5,0.2,0.43,0.8,0.06,22.14,8.54,11.44,49.08,223.9577135,2.8,4015000,0.8328 ,0.190956253
13_1M,0.5,43.87,8.42,12.5,9.51,914.7,19.7,0.18,0.3,1.05,0.08,23.12,5.913,8.262,69.72,221.4,2.31,2200000,0.6875 ,0.325324699
13_1S,0.5,47.97,7.06,3.46,9.43,1062,24.2,0.17,0.43,0.88,0.04,22.08,5.64,12.88,80.78,215.75,1.53,1573000,0.7124 ,0.143713897
13_3D,11.5,9.85,6.15,3.4,9.44,902.5,17.4,0.4,0.38,1.19,0.07,24.01,6.36,11.44,70.1,196.44,2.15,2785000,0.7348 ,0.218183156
13_3J,11.5,65.45,6.71,6.6,9.34,890.1,23.3,0.15,0.35,0.4,0.05,36.79,8.51,11.41,49.19,225.5086321,3.02,2253000,0.7260 ,0.206666912
13_3M,11.5,59.83,8.02,13.5,9.51,913.9,18.2,0.14,0.38,0.89,0.12,25.52,6.216,8.16,69.39,220.32,2.29,3010000,0.7184 ,0.209389602
13_3S,11.5,57.58,6.84,5.43,9.5,866.5,24.2,0.17,0.44,1.16,0.06,23.82,7.17,13.15,82.09,220.36,1.5,3870500,0.8687 ,0.140733655
14_1D,0.5,7.75,6.9,3.09,9.45,902.5,17.7,0.42,0.4,1.07,0.06,23.87,6.44,11.32,70.12,195.54,2.24,2790000,0.6046 ,0.219986019
14_1J,0.5,103.4,7.33,4.59,9.34,891.6,23.5,0.19,0.33,0.6,0.06,23.89,8.75,11.55,49.44,227.0834703,3.18,6180000,0.8665 ,0.169579455
14_1M,0.5,48.98,8.58,19.9,9.51,914.2,18.6,0.21,0.28,1.23,0.08,27.93,6.219,8.535,72.81,231.99,2.24,2290000,0.5887 ,0.486073807
14_1S,0.5,48.95,6.92,2.9,9.51,870.3,24.1,0.18,0.41,1.03,0.08,23.69,5.55,12.74,80.25,214.93,1.55,2320000,0.7282 ,0.162257625
14_3D,19.5,12.24,5.86,2.86,9.45,900.9,17.7,0.46,0.36,0.84,0.07,24.16,6.28,11.16,69.12,193.06,2.15,3465000,0.6722 ,0.39460613
14_3J,19.5,41.43,6.05,3.83,9.29,894.3,21.6,0.14,0.34,0.5,0.05,23.09,8.57,11.42,49.06,225.5757299,2.87,666000,0.5989 ,0.152948968
14_3M,19.5,44.36,8.39,14.2,9.51,908.7,17,0.17,0.34,1.06,0.1,22.15,6.882,8.133,69.69,220.23,2.29,2410000,0.5936 ,0.423378344
14_3S,19.5,34.65,6.75,2.67,9.51,867.7,24.2,0.15,0.42,1.08,0.07,23.94,7.26,13.01,81.11,218.71,1.67,3125000,0.7896 ,0.118473822
15_1D,0.5,4.37,6.68,2.72,9.45,902.3,18.2,0.25,0.45,0.87,0.06,23.15,6.4,11.56,70.58,199.4,2.16,7455000,0.8337 ,0.295963796
15_1J,0.5,65.11,7.37,3.98,9.34,890.7,23.5,0.19,0.36,0.5,0.05,23.93,10.4,11.05,47.72,217.6396444,2.91,2405000,0.6500 ,0.209426395
15_1M,0.5,43.32,8.59,12.8,9.51,909.7,18.8,0.13,0.36,1.03,0.06,28.41,6.312,8.169,70.2,221.82,2.3,2760000,0.4488 ,0.33349277
15_1S,0.5,37.36,7.07,3.28,9.51,867.8,24.2,0.2,0.4,1.34,0.09,23.76,5.6,13.07,80.51,215.15,1.56,2010000,0.8636 ,0.151072519
15_3D,20.5,20.1,5.32,3.21,9.44,898.3,17.8,0.38,0.37,1,0.08,23.51,6.36,11.42,69.78,196.7,2.27,5635000,0.7973 ,0.288053276
15_3M,20.5,52.03,8.34,10.5,9.5,911.7,16.7,0.13,0.33,0.86,0.02,24.56,6.975,8.208,69.51,220.86,2.27,3730000,0.4921 ,0.332168218
15_3S,20.5,73.61,6.62,2.51,9.51,870.8,24.2,0.19,0.41,1.24,0.08,23.63,7.11,12.99,80.95,216.4,1.63,1853000,0.7199 ,0.098016851
2_1D,0.5,36.67,6.65,3.12,9.45,903.2,17.4,0.23,0.45,0.96,0.07,24.11,6.48,11.16,68.56,193.08,2.3,3331250,0.7425 ,0.368299054
2_1J,0.5,10.07,6.21,5.5,9.3,895.5,22.4,0.15,0.43,1,0.09,24.64,8.52,11.49,50.08,224.6452564,2.34,3506000,0.7673 ,0.260053718
2_1M,0.5,35.21,6.63,13.3,9.48,912.6,16.7,0.13,0.3,0.94,0.06,19.26,4.782,8.703,68.19,221.31,2.64,120000,0.1667 ,0.134515619
2_1S,0.5,20.6,6.89,3.35,9.51,866,24.2,0.13,0.38,0.92,0.06,23.92,5.59,12.95,79.63,211.24,1.56,1982500,0.7467 ,0.154199934
2_3D,15.5,30.92,6.38,3.47,9.45,902.2,17.1,0.36,0.44,1.09,0.07,23.84,6.4,11.26,69.26,194.9,2.22,620000,0.4464 ,0.438058795
2_3M,15.5,28.63,6.58,13,9.48,913.1,16.1,0.12,0.29,0.93,0.07,21.19,5.679,8.631,69.03,221.31,2.36,20000,0.0172 ,0.161264211
2_3S,15.5,15.42,3.84,3.76,9.45,876.6,23.7,0.16,0.4,0.97,0.07,23.66,5.67,13.13,79.35,212.31,1.54,2013500,0.7870 ,0.137459068
3_1D,0.5,53.66,8.08,9.57,9.46,902.1,17.3,0.31,0.44,1.1,0.07,23.59,6.42,11.3,69.48,195.56,2.21,7010000,0.7881 ,0.152286692
3_1J,0.5,16.59,5.39,12.4,9.24,891.6,23,0.2,0.36,1.3,0.09,24.36,8.64,11.53,50.14,226.7703112,2.46,1620000,0.5078 ,0.131020273
3_1M,0.5,55.28,7.16,17.6,9.48,911.2,15.9,0.15,0.33,0.91,0.07,19.26,4.797,8.598,68.31,219.6,2.27,0,0.0000 ,0.145847897
3_1S,0.5,29.23,6.75,6.59,9.5,861.6,24.5,0.14,0.42,0.98,0.04,23.42,5.61,13.06,79.51,212.89,1.53,3140000,0.7899 ,0.10107068
3_3D,7.5,47.76,8.08,11.4,9.46,901.6,17.3,0.34,0.39,0.84,0.09,23.74,6.44,11.26,69.44,194.84,2.36,4710000,0.6729 ,0.437727657
3_3J,7.5,10.87,5.68,11.1,9.27,891.5,22.7,0.18,0.4,0.7,0.08,24.47,12.01,11.27,48.23,213.8578733,2.25,2251000,0.5313 ,0.114132234
3_3M,7.5,33.26,7.08,18.3,9.48,910.4,15.6,0.17,0.31,0.98,0.06,26.49,5.982,8.556,68.43,221.16,2.36,10000,0.0092 ,0.17863056
3_3S,7.5,30.46,6.62,6.59,9.51,863.9,24.3,0.19,0.44,0.84,0.07,23.48,5.53,13.11,79.41,213.08,1.55,3830000,0.8272 ,0.099488576
4_1D,0.5,34.85,6.52,2.92,9.44,905.8,17.5,0.29,0.43,0.73,0.07,21.92,6.46,11.28,68.96,193.52,2.28,7010000,0.7980 ,0.336362633
4_1J,0.5,65.3,7.02,5.7,9.3,883.7,24.1,0.18,0.34,0.1,0.06,23.39,8.9,11.6,50.45,226.032714,2.53,4973500,0.8088 ,0.138930792
4_1M,0.5,36.12,7.81,8.69,9.49,915.8,18.3,0.15,0.28,0.9,0.44,21.67,6.507,8.604,68.52,223.74,2.29,1050000,0.5932 ,0.215497259
4_1S,0.5,21.09,6.69,2.8,9.51,864.7,24.5,0.24,0.41,0.92,0.04,21.45,5.47,13.13,80.55,214.51,1.53,4285000,0.8125 ,0.159608521
4_3D,31.5,18.28,6.27,2.77,9.44,901.3,17.6,0.33,0.42,1.18,0.06,23.33,6.38,11.3,69.3,194.6,2.17,3675000,0.7664 ,0.349608153
4_3J,31.5,89.15,6.22,7.21,9.26,885.4,22.7,0.23,0.34,1,0.09,24.01,10.42,11.2,48.98,218.3391073,2.36,2605000,0.7340 ,0.150263071
4_3M,31.5,36.67,7.18,8.48,9.49,920.3,17.6,0.17,0.34,1,0.06,20.23,5.805,8.334,67.35,218.46,2.37,1680000,0.7534 ,0.212517017
4_3S,31.5,11.47,2.8,2.46,9.38,885,21.9,0.49,0.37,0.79,0.07,23.17,6.36,13.27,81.01,215.88,1.56,988000,0.6723 ,0.055152875
5_1D,0.5,16.73,5.89,2.62,9.43,903.1,17.5,0.33,0.45,1.05,0.09,23.91,6.54,11.26,69.36,195.26,2.3,3872500,0.7826 ,0.379263402
5_1J,0.5,103.8,7.17,4.42,9.37,895.9,22.7,0.18,0.32,1.4,0.07,23.02,8.69,11.6,50.89,230.1654154,2.64,1414000,0.4645 ,0.161521763
5_1M,0.5,47.31,7.99,8.58,9.5,914.2,17.9,0.14,0.3,0.83,0.09,20.71,5.034,8.238,68.13,220.95,2.4,1860000,0.7440 ,0.236690092
5_1S,0.5,27.75,6.44,3.08,9.5,864,24.6,0.2,0.39,0.88,0.05,23.72,5.53,12.88,79.12,212.24,1.55,1255500,0.7295 ,0.18584201
5_3D,15.5,13.51,5.61,2.93,9.43,902.3,17.5,0.4,0.4,1.05,0.07,23.92,6.3,11.16,69.16,193.58,2.17,2354500,0.7072 ,0.335369219
5_3J,15.5,43.2,5.89,3.75,9.24,900.2,21,0.47,0.35,1.2,0.1,26.65,8.64,11.65,50.68,229.9763582,2.62,1027500,0.6462 ,0.205158394
5_3M,15.5,32.95,6.44,10.8,9.48,910.5,17.1,0.16,0.32,1.1,0.07,22.15,6.621,8.169,66.99,218.28,2.22,2260000,0.8726 ,0.209978292
5_3S,15.5,16.65,3.82,3.14,9.5,873.2,23.9,0.17,0.38,0.65,0.06,23.73,6.17,13.43,80.83,215.5,1.51,1127500,0.7089 ,0.025939144
6_1D,0.5,51.98,7.9,7.1,9.46,904.5,17.2,0.29,0.41,0.78,0.07,24.14,6.38,11.12,68.58,192.84,2.25,3230000,0.5231 ,0.345818463
6_1J,0.5,126.9,6.97,11.6,9.34,891.6,24,0.21,0.3,1.3,0.05,23.09,8.65,11.56,50.43,227.749534,2.67,3190000,0.7011 ,0.144449759
6_1M,0.5,56.72,8.33,9.11,9.51,909.8,16.9,0.19,0.3,1,0.09,22.15,4.887,8.52,69.12,224.19,2.34,700000,0.5600 ,0.301445969
6_1S,0.5,21.09,6.56,3.19,9.51,868.9,24.2,0.16,0.39,1.02,0.07,23.95,5.57,13.08,80.24,214.03,1.55,2060500,0.7780 ,0.14375069
6_3D,19.5,36.53,6.62,4.61,9.44,901.7,17.5,0.34,0.4,1.07,0.06,23.82,6.62,11.48,70.1,197.32,2.17,2515000,0.6241 ,0.213915155
6_3J,19.5,103.2,6.33,36.3,9.29,892.6,23.3,0.18,0.31,0.6,0.1,29.07,8.67,11.45,49.94,226.561997,2.66,1880000,0.7015 ,0.135803378
6_3M,19.5,46.31,7.96,6.81,9.49,909,15.8,0.14,0.34,1,0.07,22.15,4.782,8.409,68.7,222.27,2.34,760000,0.4720 ,0.275617204
6_3S,19.5,16.65,6.29,3.6,9.5,861.5,24.6,0.18,0.38,0.9,0.06,23.64,5.56,13.02,80.11,215.26,1.52,2093000,0.7814 ,0.080871261
7_1D,0.5,15.75,6.38,3.35,9.44,903.6,17.4,0.39,0.44,1.21,0.06,21.26,6.32,11.26,69.02,193.76,2.26,2590000,0.6475 ,0.331689908
7_1J,0.5,38.17,7.34,5.2,9.3,884.7,24.4,0.19,0.31,1.4,0.04,24.58,10.81,10.96,48.13,214.9369121,2.21,6725000,0.7954 ,0.221310571
7_1M,0.5,48.2,8.61,10.5,9.52,913.3,17.1,0.17,0.36,1.08,0.08,23.6,5.604,8.286,69.21,221.1,2.23,1440000,0.7164 ,0.317892491
7_1S,0.5,17.89,7.09,3.2,9.52,869.4,24.1,0.17,0.38,1.31,0.04,21.21,5.63,12.99,80.95,215.77,1.55,1543500,0.6537 ,0.167886972
7_3D,22.5,21.37,6.01,2.85,9.44,902.4,17.4,0.48,0.4,0.92,0.07,23.4,6.34,11.28,69.32,197.06,2.24,2897500,0.6684 ,0.272305824
7_3J,22.5,36.47,5.79,3.58,9.27,889.2,21.1,0.27,0.38,0.4,0.12,27.3,8.6,11.46,49.88,226.2944717,3.05,2815500,0.7754 ,0.105044336
7_3M,22.5,48.33,7.78,9.41,9.5,909.4,16.2,0.15,0.39,0.84,0.07,22.15,6.645,8.097,67.59,215.94,2.23,1330000,0.7778 ,0.265388719
7_3S,22.5,67.45,3.19,2.49,9.38,881.7,21.9,0.52,0.39,1.13,0.09,23.24,7.28,13.37,82.24,220.89,1.55,1140500,0.7904 ,0.01383421
8_1D,0.5,10.98,5.93,3.16,9.43,902.8,17.3,0.43,0.41,0.87,0.07,23.94,6.28,11.18,69.14,196.12,2.18,3940000,0.7771 ,0.40785165
8_1J,0.5,77.2,7.14,4.6,9.33,895.2,22.7,0.48,0.33,0.7,0.08,24.82,8.52,11.43,50.27,227.0824002,2.86,7218000,0.8816 ,0.245594025
8_1M,0.5,36.56,8.23,11.4,9.5,908.6,18.1,0.14,0.39,0.85,0.07,23.12,4.587,8.28,68.61,221.4,2.3,5900,0.5728 ,0.320026491
8_1S,0.5,27.01,6.74,2.66,9.51,868.7,24.2,0.17,0.41,0.89,0.05,23.76,5.66,12.84,80.96,217.32,1.56,692500,0.2299 ,0.174951249
8_3D,24.5,18.59,5.32,2.51,9.44,909.3,17.2,0.41,0.42,0.92,0.1,23.34,6.3,11.16,68.84,193.76,2.18,2340000,0.7376 ,0.307075316
8_3M,24.5,38.72,7.67,9.25,9.52,912.7,17.4,0.12,0.4,1.24,0.07,26.49,7.95,8.169,66.45,215.58,2.3,8400,0.6829 ,0.255380993
8_3S,24.5,23.06,3.22,2.03,9.38,884.7,21.8,0.47,0.5,1.13,0.07,23.17,7.07,13.14,80.89,217.17,1.59,1365000,0.8174 ,0.044630045
9_1D,0.5,18.7,6.48,3.67,9.45,903.1,17.5,0.32,0.38,1.03,0.07,24.41,6.36,11.2,69.28,194.36,2.19,4680000,0.7470 ,0.382648368
9_1J,0.5,182.5,6.76,9.33,9.26,891.5,23.2,0.45,0.28,1.1,0.08,24.53,8.52,11.49,49.97,226.7881084,2.82,1860000,0.5860 ,0.18205232
9_1M,0.5,51.21,8.27,11.6,9.5,910.2,18.1,0.14,0.34,0.97,0.06,24.08,12.972,8.211,69.03,222,2.25,860000,0.3675 ,0.360425328
9_1S,0.5,30.71,6.55,3.26,9.51,869.2,24.1,0.18,0.42,0.9,0.05,24.21,5.73,12.93,80.33,215.68,1.55,1930500,0.7665 ,0.108539681
9_3D,15.5,36.25,6.03,3.15,9.45,903.8,17.3,0.36,0.38,0.84,0.07,23.78,6.44,11.24,69.06,194.04,2.22,1165000,0.4139 ,0.378895471
9_3J,15.5,57.75,5.91,10.5,9.25,896,21.9,0.17,0.3,0.2,0.13,22.67,8.69,11.59,49.89,226.0216925,2.79,207000,0.3898 ,0.191103425
9_3M,15.5,40.26,7.98,10,9.51,909.8,17.3,0.13,0.39,0.81,0.06,25.04,5.577,8.412,69.99,221.46,2.28,830000,0.4069 ,0.259869752
9_3S,15.5,17.39,3.18,6.25,9.41,885.3,22.5,0.29,0.4,1.34,0.09,23.6,5.63,12.97,80.92,216.26,1.55,990500,0.5335 ,0.081423158
